OBJECTID,id_person,Season,classifica,league_nam,team_name,team_id,City_PoB,State_Pob,State_Abbr,Country_Po,Region_PoB,Group_PoB,PoB_Lat,PoB_Long
111483,178100,2016,MLB,American,OAK,2016_American_OAK,OrangePark_FL_US,Orange Park,FL,US,Northern America,Northern America,30.166074,-81.706484
111487,178104,2016,MLB,American,MIN,2016_American_MIN,Glendale_CA_US,Glendale,CA,US,Northern America,Northern America,34.142346,-118.248367
111491,178104,2016,MLB,American,MIN,2016_American_MIN,Glendale_CA_US,Glendale,CA,US,Northern America,Northern America,34.142346,-118.248367
111651,178465,2016,MLB,American,NYY,2016_American_NYY,Reidsville_NC_US,Reidsville,NC,US,Northern America,Northern America,36.354859,-79.664475
111654,178465,2016,MLB,American,NYY,2016_American_NYY,Reidsville_NC_US,Reidsville,NC,US,Northern America,Northern America,36.354859,-79.664475
111806,178631,2016,MLB,American,LAA,2016_American_LAA,Voorhees_NJ_US,Vooerhees,NJ,US,Northern America,Northern America,40.481216,-74.483209
111811,178631,2016,MLB,National,PHI,2016_National_PHI,Voorhees_NJ_US,Vooerhees,NJ,US,Northern America,Northern America,40.481216,-74.483209
111812,178631,2016,MLB,American,LAA,2016_American_LAA,Voorhees_NJ_US,Vooerhees,NJ,US,Northern America,Northern America,40.481216,-74.483209
111817,178631,2016,MLB,National,PHI,2016_National_PHI,Voorhees_NJ_US,Vooerhees,NJ,US,Northern America,Northern America,40.481216,-74.483209
111831,178671,2016,MLB,American,LAA,2016_American_LAA,Metairie_LA_US,Metairie,LA,US,Northern America,Northern America,30.001852,-90.176715
111837,178671,2016,MLB,American,LAA,2016_American_LAA,Metairie_LA_US,Metairie,LA,US,Northern America,Northern America,30.001852,-90.176715
111970,178955,2016,MLB,American,HOU,2016_American_HOU,Telford_PA_US,Telford,PA,US,Northern America,Northern America,40.322048,-75.327954
111978,178955,2016,MLB,National,PIT,2016_National_PIT,Telford_PA_US,Telford,PA,US,Northern America,Northern America,40.322048,-75.327954
111980,178955,2016,MLB,American,HOU,2016_American_HOU,Telford_PA_US,Telford,PA,US,Northern America,Northern America,40.322048,-75.327954
111988,178955,2016,MLB,National,PIT,2016_National_PIT,Telford_PA_US,Telford,PA,US,Northern America,Northern America,40.322048,-75.327954
112054,179039,2016,MLB,National,PIT,2016_National_PIT,Gwangju_Gwangju_KR,Gwangju,Gwangju,KR,Eastern Asia,Asia,35.149108,126.863465
112056,179039,2016,MLB,National,PIT,2016_National_PIT,Gwangju_Gwangju_KR,Gwangju,Gwangju,KR,Eastern Asia,Asia,35.149108,126.863465
112105,179137,2016,MLB,National,LAD,2016_National_LAD,LongBeach_CA_US,Long Beach,CA,US,Northern America,Northern America,33.777466,-118.188487
112112,179137,2016,MLB,National,LAD,2016_National_LAD,LongBeach_CA_US,Long Beach,CA,US,Northern America,Northern America,33.777466,-118.188487
112440,179611,2016,MLB,National,PIT,2016_National_PIT,WheatRidge_CO_US,Wheat Ridge,CO,US,Northern America,Northern America,39.766098,-105.077206
112441,179611,2016,MLB,National,WSH,2016_National_WSH,WheatRidge_CO_US,Wheat Ridge,CO,US,Northern America,Northern America,39.766098,-105.077206
112449,179611,2016,MLB,National,PIT,2016_National_PIT,WheatRidge_CO_US,Wheat Ridge,CO,US,Northern America,Northern America,39.766098,-105.077206
112450,179611,2016,MLB,National,WSH,2016_National_WSH,WheatRidge_CO_US,Wheat Ridge,CO,US,Northern America,Northern America,39.766098,-105.077206
112530,179735,2016,MLB,American,HOU,2016_American_HOU,Santiago_Santiago_DO,Santiago,Santiago,DO,Caribbean,Latin America and the Caribbean,19.450293,-70.690611
112540,179735,2016,MLB,American,TEX,2016_American_TEX,Santiago_Santiago_DO,Santiago,Santiago,DO,Caribbean,Latin America and the Caribbean,19.450293,-70.690611
112542,179735,2016,MLB,American,HOU,2016_American_HOU,Santiago_Santiago_DO,Santiago,Santiago,DO,Caribbean,Latin America and the Caribbean,19.450293,-70.690611
112552,179735,2016,MLB,American,TEX,2016_American_TEX,Santiago_Santiago_DO,Santiago,Santiago,DO,Caribbean,Latin America and the Caribbean,19.450293,-70.690611
112784,180064,2016,MLB,National,LAD,2016_National_LAD,Pasadena_CA_US,Pasadena,CA,US,Northern America,Northern America,34.147645,-118.144478
112799,180064,2016,MLB,National,LAD,2016_National_LAD,Pasadena_CA_US,Pasadena,CA,US,Northern America,Northern America,34.147645,-118.144478
112891,180112,2016,MLB,National,LAD,2016_National_LAD,Incheon_Incheon_KR,Incheon,Incheon,KR,Eastern Asia,Asia,37.351162,126.603359
112894,180112,2016,MLB,National,LAD,2016_National_LAD,Incheon_Incheon_KR,Incheon,Incheon,KR,Eastern Asia,Asia,37.351162,126.603359
112901,180116,2016,MLB,National,SF,2016_National_SF,Monterrey_NuevoLeon_MX,Monterrey,Nuevo Leon,MX,Central America,Latin America and the Caribbean,25.669657,-100.317819
112906,180116,2016,MLB,National,SF,2016_National_SF,Monterrey_NuevoLeon_MX,Monterrey,Nuevo Leon,MX,Central America,Latin America and the Caribbean,25.669657,-100.317819
112913,180119,2016,MLB,American,CLE,2016_American_CLE,Palenque_SanCristobal_DO,Palenque, ,DO,Caribbean,Latin America and the Caribbean,18.261974,-70.147739
112930,180119,2016,MLB,American,CLE,2016_American_CLE,Palenque_SanCristobal_DO,Palenque, ,DO,Caribbean,Latin America and the Caribbean,18.261974,-70.147739
112955,180123,2016,MLB,National,STL,2016_National_STL,Stillwater_OK_US,Stillwater,OK,US,Northern America,Northern America,36.115631,-97.058572
112969,180123,2016,MLB,National,STL,2016_National_STL,Stillwater_OK_US,Stillwater,OK,US,Northern America,Northern America,36.115631,-97.058572
113176,180546,2016,MLB,American,TB,2016_American_TB,FortWayne_IN_US,Fort Wayne,IN,US,Northern America,Northern America,41.07999,-85.138601
113180,180546,2016,MLB,American,TB,2016_American_TB,FortWayne_IN_US,Fort Wayne,IN,US,Northern America,Northern America,41.07999,-85.138601
113193,180601,2016,MLB,National,CIN,2016_National_CIN,Indianapolis_IN_US,Indianapolis,IN,US,Northern America,Northern America,39.768333,-86.15835
113196,180601,2016,MLB,National,CIN,2016_National_CIN,Indianapolis_IN_US,Indianapolis,IN,US,Northern America,Northern America,39.768333,-86.15835
113209,180688,2016,MLB,National,CIN,2016_National_CIN,Redlands_CA_US,Redlands,CA,US,Northern America,Northern America,34.07072,-117.099506
113215,180688,2016,MLB,National,CIN,2016_National_CIN,Redlands_CA_US,Redlands,CA,US,Northern America,Northern America,34.07072,-117.099506
113494,181075,2016,MLB,National,PHI,2016_National_PHI,Akron_OH_US,Akron,OH,US,Northern America,Northern America,41.083064,-81.518485
113497,181075,2016,MLB,National,PHI,2016_National_PHI,Akron_OH_US,Akron,OH,US,Northern America,Northern America,41.083064,-81.518485
113562,181211,2016,MLB,American,SEA,2016_American_SEA,LasMatasdeSantaCruz_MonteCristi_DO,Las Matas de Santa Cruz,Monte Cristi,DO,Caribbean,Latin America and the Caribbean,19.663077,-71.508086
113573,181211,2016,MLB,American,SEA,2016_American_SEA,LasMatasdeSantaCruz_MonteCristi_DO,Las Matas de Santa Cruz,Monte Cristi,DO,Caribbean,Latin America and the Caribbean,19.663077,-71.508086
113767,181503,2016,MLB,American,TB,2016_American_TB,Flemington_NJ_US,Flemington,NJ,US,Northern America,Northern America,40.512326,-74.859332
113769,181503,2016,MLB,American,TB,2016_American_TB,Flemington_NJ_US,Flemington,NJ,US,Northern America,Northern America,40.512326,-74.859332
113775,181504,2016,MLB,American,KC,2016_American_KC,SantoDomingo_DistritoNacional_DO,Santo Domingo,Distrito Nacional,DO,Caribbean,Latin America and the Caribbean,18.480197,-69.942111
