Measure Names,Year of Season,Measure Values
Asia (A),1960,
Africa (A-),2016,
Africa (A-),2015,1
Africa (A-),2014,3
Africa (A-),2013,
Africa (A-),2012,1
Africa (A-),2011,
Africa (A-),2010,3
Africa (A-),2009,3
Africa (A-),2008,1
Africa (A-),2007,
Africa (A-),2006,
Africa (A-),2005,
Africa (A-),2004,
Africa (A-),2003,
Africa (A-),2002,
Africa (A-),2001,2
Africa (A-),2000,
Africa (A-),1999,
Africa (A-),1998,1
Africa (A-),1997,
Africa (A-),1996,
Africa (A-),1995,
Africa (A-),1994,
Africa (A-),1993,
Africa (A-),1992,
Africa (A-),1991,
Africa (A-),1990,
Africa (A-),1989,
Africa (A-),1988,
Africa (A-),1987,
Africa (A-),1986,
Africa (A-),1985,
Africa (A-),1984,
Africa (A-),1983,
Africa (A-),1982,
Africa (A-),1981,
Africa (A-),1980,
Africa (A-),1979,
Africa (A-),1978,
Africa (A-),1977,
Africa (A-),1976,
Africa (A-),1975,
Africa (A-),1974,
Africa (A-),1973,
Africa (A-),1972,
Africa (A-),1971,
Africa (A-),1970,
Africa (A-),1969,
Africa (A-),1968,
Africa (A-),1967,
Africa (A-),1966,
Africa (A-),1965,
Africa (A-),1964,
Africa (A-),1963,
Africa (A-),1962,
Africa (A-),1961,
Africa (A-),1960,
Africa (A+),2016,
Africa (A+),2015,1
Africa (A+),2014,3
Africa (A+),2013,1
Africa (A+),2012,
Africa (A+),2011,3
Africa (A+),2010,
Africa (A+),2009,
Africa (A+),2008,1
Africa (A+),2007,
Africa (A+),2006,
Africa (A+),2005,
Africa (A+),2004,1
Africa (A+),2003,1
Africa (A+),2002,2
Africa (A+),2001,1
Africa (A+),2000,2
Africa (A+),1999,2
Africa (A+),1998,1
Africa (A+),1997,
Africa (A+),1996,
Africa (A+),1995,
Africa (A+),1994,
Africa (A+),1993,
Africa (A+),1992,
Africa (A+),1991,
Africa (A+),1990,
Africa (A+),1989,
Africa (A+),1988,
Africa (A+),1987,
Africa (A+),1986,
Africa (A+),1985,
Africa (A+),1984,
Africa (A+),1983,
Africa (A+),1982,
Africa (A+),1981,
Africa (A+),1980,
Africa (A+),1979,
Africa (A+),1978,
Africa (A+),1977,
Africa (A+),1976,
Africa (A+),1975,
Africa (A+),1974,
Africa (A+),1973,
Africa (A+),1972,
Africa (A+),1971,
Africa (A+),1970,
Africa (A+),1969,
Africa (A+),1968,
Africa (A+),1967,
Africa (A+),1966,
Africa (A+),1965,
Africa (A+),1964,
Africa (A+),1963,
Africa (A+),1962,
Africa (A+),1961,
Africa (A+),1960,
Africa (A),2016,1
Africa (A),2015,
Africa (A),2014,2
Africa (A),2013,4
Africa (A),2012,2
Africa (A),2011,4
Africa (A),2010,2
Africa (A),2009,1
Africa (A),2008,
Africa (A),2007,
Africa (A),2006,
Africa (A),2005,
Africa (A),2004,
Africa (A),2003,
Africa (A),2002,
Africa (A),2001,1
Africa (A),2000,
Africa (A),1999,1
Africa (A),1998,
Africa (A),1997,
Africa (A),1996,
Africa (A),1995,
Africa (A),1994,
Africa (A),1993,
Africa (A),1992,
Africa (A),1991,
Africa (A),1990,
Africa (A),1989,
Africa (A),1988,
Africa (A),1987,
Africa (A),1986,
Africa (A),1985,
Africa (A),1984,
Africa (A),1983,
Africa (A),1982,
Africa (A),1981,
Africa (A),1980,
Africa (A),1979,
Africa (A),1978,
Africa (A),1977,
Africa (A),1976,
Africa (A),1975,
Africa (A),1974,
Africa (A),1973,
Africa (A),1972,
Africa (A),1971,
Africa (A),1970,
Africa (A),1969,
Africa (A),1968,
Africa (A),1967,
Africa (A),1966,1
Africa (A),1965,
Africa (A),1964,
Africa (A),1963,
Africa (A),1962,
Africa (A),1961,
Africa (A),1960,
